dataset,model,acc,auc,brier,hibiki_score,angle_to_pca_k_deg,acc_kernel_noise,auc_kernel_noise,brier_kernel_noise
make_classification,LSC,0.9325,0.9924750000000001,0.06387233468091078,0.7014657368247103,1.3309107368019666,0.9325,0.9924750000000001,0.06387233468091055
make_classification,Logistic,0.9775,0.9921749999999999,0.023785620638095927,0.7021978009992371,1.9301378888663987,0.9775,0.9921749999999999,0.0237856206380958
make_classification,LDA,0.9325,0.9924750000000001,0.05284771618654093,0.7014657368247101,1.330910736801973,0.9325,0.9924750000000001,0.05284771618654089
make_classification,LinearSVM,0.9725,0.9921249999999999,0.07096346423797006,0.7022500107220458,2.623402599699323,0.9725,0.9921249999999999,0.07096346423797009
make_classification,Perceptron,0.9425,0.9819749999999999,0.04908476647958786,0.6821222895821468,11.255895474938955,0.9425,0.9819749999999999,0.04908476647958665
make_moons,LSC,0.87,0.938775,0.10402152607048627,0.570310705918057,1.799193426557978e-14,0.87,0.938775,0.10402152607050535
make_moons,Logistic,0.8725,0.938525,0.09676911675610217,0.5693120028369378,1.7127811137784224e-14,0.8725,0.938525,0.09676911675610032
make_moons,LDA,0.87,0.938775,0.0973798946170906,0.5703107059180571,2.5444437451708134e-14,0.87,0.938775,0.09737989461708663
make_moons,LinearSVM,0.87,0.93895,0.13367241848101258,0.569929813108031,1.7127811137784224e-14,0.87,0.93895,0.1336724184810293
make_moons,Perceptron,0.86,0.936425,0.10177994077182874,0.5657661012292168,1.90833280887811e-14,0.86,0.936425,0.10177994077182717
breast_cancer,LSC,0.956140350877193,0.9940476190476191,0.05424318887967926,0.7173442434395967,87.36434989900846,0.956140350877193,0.9940476190476191,0.05424318887971187
breast_cancer,Logistic,0.9824561403508771,0.9950396825396824,0.024242430214869663,0.6323701576289126,36.812335433817644,0.9824561403508771,0.9950396825396824,0.024242430214863567
breast_cancer,LDA,0.956140350877193,0.9940476190476191,0.03155351308693441,0.7173442434395966,87.36434989900889,0.956140350877193,0.9940476190476191,0.03155351308693402
breast_cancer,LinearSVM,0.9385964912280702,0.9887566137566137,0.04864158579834134,0.5756618676102196,61.895271193106446,0.9385964912280702,0.9887566137566137,0.04864158579833771
breast_cancer,Perceptron,0.956140350877193,0.9937169312169312,0.03746769759306401,0.632088445350211,44.523688456896245,0.956140350877193,0.9937169312169312,0.0374676975930683
